firm_id,index_date,index_year,split,event_1m,days_to_event_1m,event_5m,days_to_event_5m,event_10m,days_to_event_10m,censoring_horizon_days,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,phase1_to_phase2_days,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,n_trl_observations,trl_mean_pre,trl_volatility,trl_max_pre,trl_min_pre,trl_first_grant,trl_at_index,trl_delta,trl_velocity_per_year,trl_span_days,has_embedding,amt_bucket,trl_delta_bin,is_troll,vc_AdTech,vc_AgriTech,vc_Artificial_Intelligence,vc_B2B_SaaS,vc_BioTech,vc_Blue_Economy_and_OceanTech,vc_CleanTech,vc_ClimateTech,vc_Cloud_Infrastructure,vc_Creator_Economy,vc_Cybersecurity,vc_DeepTech,vc_ESG_Technology,vc_EdTech,vc_ElderTech,vc_FinTech,vc_FoodTech,vc_Frontier_and_Dual_Use_Tech,vc_Gaming_and_eSports,vc_GovTech,vc_HRTech,vc_HealthTech,vc_IndustrialTech,vc_InsurTech,vc_LegalTech,vc_MarTech,vc_MedTech,vc_Media_and_Entertainment_Tech,vc_Mobility_and_Transportation_Tech,vc_NeuroTech,vc_PetTech,vc_PropTech,vc_Smart_Cities_and_Urban_Innovation,vc_SpaceTech,vc_SportsTech
firm_00076,2010-02-25,2010,train,0,5928,0,5928,0,5928,5928,24,6236923.0,750000.0,2274,4,8,17,2274.0,1,0,0,0,0,0,GA,24.0,3.75,1.03209369308428,5.0,2.0,4.0,5.0,1.0,0.1606200527704485,2274.0,True,>6M,small_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5198402,0.0,0.0,0.0,0.0,0.0,0.38808292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00081,2010-04-06,2010,train,0,5888,0,5888,0,5888,5888,59,22366904.0,2928410.0,2318,6,8,38,2318.0,1,0,0,0,0,0,CO,59.0,3.440677966101694,1.3034594082628332,6.0,2.0,4.0,5.0,1.0,0.1575711820534943,2318.0,True,>6M,small_up,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48436928,0.0,0.0,0.0,0.0,0.3703606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00089,2009-11-18,2010,train,0,6027,0,6027,0,6027,6027,44,13264801.0,999958.0,2133,7,6,29,2133.0,1,1,0,0,1,0,MA,44.0,3.75,1.3316365172048596,6.0,2.0,4.0,6.0,2.0,0.3424753867791842,2133.0,True,>6M,big_up,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3730814,0.0,0.0,0.0,0.0,0.0,0.35992116,0.3605689,0.0,0.0,0.37164772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00102,2014-04-08,2010,train,0,4425,0,4425,0,4425,4425,6,4854464.0,3000000.0,778,1,3,4,778.0,0,0,0,1,0,0,MA,6.0,3.0,1.6733200530681511,6.0,2.0,2.0,4.0,2.0,0.9389460154241644,778.0,True,3M-6M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39783806,0.0,0.0,0.0,0.0,0.0,0.31908503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00104,2010-12-15,2010,train,0,5635,0,5635,0,5635,5635,16,4573895.0,1374130.0,2525,6,5,12,2525.0,1,0,0,0,1,0,CA,16.0,3.4375,1.5903353943953669,6.0,2.0,4.0,6.0,2.0,0.2893069306930693,2525.0,True,3M-6M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33232707,0.0,0.0,0.0,0.0,0.31920478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30259535,0.0
firm_00105,2010-09-17,2010,train,0,5724,0,5724,0,5724,5724,17,6718553.0,1329980.0,2436,5,7,10,2436.0,1,0,0,0,1,0,UT,17.0,3.7058823529411766,1.1048023512348792,6.0,2.0,4.0,4.0,0.0,0.0,2436.0,True,>6M,flat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3692833,0.0,0.0,0.0,0.0,0.0,0.37137172,0.0,0.0,0.0,0.0,0.35276878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00107,2009-12-09,2010,train,0,6006,0,6006,0,6006,6006,41,11541073.0,1229950.0,2200,9,7,29,2154.0,1,0,0,0,1,0,CA,41.0,3.5121951219512195,1.0517117290282587,6.0,2.0,5.0,5.0,0.0,0.0,2200.0,True,>6M,flat,1,0.0,0.0,0.0,0.0,0.35958147,0.0,0.0,0.0,0.0,0.0,0.0,0.30941302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33308157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30596375,0.0
firm_00110,2013-12-01,2010,train,0,4553,0,4553,0,4553,4553,1,520421.0,520421.0,0,1,1,0,,0,1,0,0,0,0,NC,1.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,0.0,True,500K-1.5M,flat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31273982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3297789,0.0,0.0,0.0,0.0,0.0
firm_00112,2010-06-02,2010,train,0,5831,0,5831,0,5831,5831,19,6317865.0,1488500.0,1752,4,6,14,1752.0,1,0,0,0,0,0,NY,19.0,2.9473684210526314,1.177270110161938,5.0,2.0,4.0,5.0,1.0,0.2084760273972602,1752.0,True,>6M,small_up,0,0.0,0.0,0.41303405,0.0,0.0,0.36503032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33246028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3965902,0.0,0.0
firm_00115,2009-11-30,2010,train,1,2144,1,2144,1,3049,6015,4,1046628.0,747507.0,1333,1,3,3,1333.0,1,0,0,0,0,0,CO,4.0,3.75,2.362907813126304,7.0,2.0,4.0,7.0,3.0,0.8220180045011252,1333.0,True,500K-1.5M,big_up,0,0.0,0.0,0.0,0.0,0.3750127,0.0,0.0,0.0,0.0,0.0,0.0,0.39142182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3744309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00121,2010-01-08,2010,train,1,5144,1,5144,1,5144,5976,247,72337368.0,2699830.0,2230,10,8,172,2221.0,1,0,0,0,1,0,VA,247.0,3.7085020242914974,1.1244007360544497,6.0,2.0,5.0,3.0,-2.0,-0.3275784753363228,2230.0,True,>6M,negative,1,0.0,0.3599436,0.0,0.0,0.0,0.32966754,0.0,0.33551717,0.0,0.0,0.0,0.35018578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3956644,0.0
firm_00123,2009-12-08,2010,train,0,6007,0,6007,0,6007,6007,136,39855857.0,1734850.0,2217,9,7,94,2153.0,1,0,0,0,1,0,TX,136.0,3.7352941176470593,1.1368266040469168,6.0,2.0,4.0,5.0,1.0,0.1647496617050067,2217.0,True,>6M,small_up,1,0.0,0.0,0.0,0.0,0.0,0.37356922,0.45711142,0.40466678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
