firm_id,index_date,index_year,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,n_phase2_pre,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,event_1m,days_to_event_1m
firm_06166,2017-07-24,2017,1,238517.0,238517.0,0,1,1,1,0,0,1,0,0,0,0,MN,0,3222
firm_06167,2019-08-02,2019,1,49691.0,49691.0,0,1,1,1,0,1,0,0,0,0,0,TX,0,2483
firm_06168,2015-07-01,2015,2,193499.0,123500.0,4139,2,2,2,0,0,1,0,0,0,0,PA,0,3976
firm_06169,2014-10-01,2010,2,554137.0,479138.0,899,2,2,1,1,0,0,1,0,0,0,OR,0,4249
firm_06170,2020-07-01,2020,1,150000.0,150000.0,0,1,1,1,0,0,1,0,0,0,0,TX,0,2149
firm_06171,2020-02-01,2020,2,722703.0,538031.0,0,2,1,1,1,0,1,0,0,0,0,NY,0,2300
firm_06172,2019-03-06,2019,1,49817.0,49817.0,0,1,1,1,0,1,0,0,0,0,0,CA,1,635
firm_06173,2019-12-12,2020,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,CO,1,460
firm_06174,2017-08-18,2012,10,8838744.0,1497779.0,1798,4,4,1,9,0,1,0,0,0,0,MD,0,3197
firm_06175,2019-12-12,2020,1,49364.0,49364.0,0,1,1,1,0,1,0,0,0,0,0,FL,0,2351
firm_06176,2019-05-01,2019,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,0,MN,1,826
firm_06177,2013-07-01,2013,1,224969.0,224969.0,0,1,1,1,0,0,0,1,0,0,0,OK,0,4706
firm_06178,2020-07-07,2020,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,1,LA,0,2143
firm_06179,2017-07-01,2017,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,IL,1,985
firm_06180,2016-02-15,2013,3,1716641.0,767485.0,928,3,2,1,2,0,1,0,0,0,0,SC,0,3747
firm_06181,2015-09-28,2011,11,6013298.0,1379147.0,4273,6,5,3,8,1,1,0,0,1,0,NC,0,3887
firm_06182,2020-09-01,2020,1,253210.0,253210.0,0,1,1,1,0,0,0,1,0,0,0,MA,0,2087
firm_06183,2017-09-15,2017,2,815458.0,590458.0,0,2,1,1,1,0,1,0,0,0,0,MD,1,1085
firm_06184,2019-12-15,2020,1,263178.0,263178.0,0,1,1,1,0,0,1,0,0,0,0,FL,0,2348
firm_06185,2019-03-06,2019,1,156406.0,156406.0,0,1,1,1,0,1,0,0,0,0,0,NC,0,2632
firm_06186,2020-08-01,2020,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,NY,0,2118
firm_06187,2020-07-13,2020,1,149470.0,149470.0,0,1,1,1,0,1,0,0,0,0,0,MD,0,2137
firm_06188,2010-03-09,2010,3,288493.0,119819.0,456,2,3,3,0,1,0,0,0,0,0,HI,0,5916
firm_06189,2019-12-12,2020,1,49998.0,49998.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2351
firm_06190,2020-03-09,2020,1,49516.0,49516.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2263
firm_06191,2020-08-15,2020,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,TX,0,2104
firm_06192,2019-12-12,2020,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,IL,0,2351
firm_06193,2020-03-09,2020,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2263
firm_06194,2016-09-01,2016,4,3597614.0,1635549.0,0,2,1,1,3,0,1,0,0,0,0,CA,0,3548
firm_06195,2019-03-26,2019,1,99896.0,99896.0,0,1,1,1,0,1,0,0,0,0,0,MA,0,2612
firm_06196,2020-09-01,2020,1,251134.0,251134.0,0,1,1,1,0,0,0,1,0,0,0,VT,1,23
firm_06197,2019-08-19,2019,1,99201.0,99201.0,0,1,1,1,0,0,0,0,0,1,0,CA,0,2466
firm_06198,2018-09-01,2013,1,224669.0,224669.0,0,1,1,1,0,0,1,0,0,0,0,VA,0,2818
firm_06199,2020-09-01,2020,1,255974.0,255974.0,0,1,1,1,0,0,0,1,0,0,0,CO,0,2087
firm_06200,2016-02-23,2016,1,145305.0,145305.0,0,1,1,1,0,0,0,0,1,0,0,NM,0,3739
firm_06201,2020-09-30,2020,2,440716.0,348182.0,0,2,1,2,0,0,1,0,0,0,0,NC,0,2058
firm_06202,2018-01-01,2018,1,224950.0,224950.0,0,1,1,1,0,0,0,1,0,0,0,CA,0,3061
